ba7r,label,
عَلى قَدرِ أَهلِ العَزمِ تَأتي العَزائِمُ,1,
وَتَأتي عَلى قَدرِ الكِرامِ المَكارِمُ,1,
وَتَعظُمُ في عَينِ الصَغيرِ صِغارُها,1,
وَتَصغُرُ في عَينِ العَظيمِ العَظائِمُ,1,
يُكَلِّفُ سَيفُ الدَولَةِ الجَيشَ هَمَّهُ,1,
وَقَد عَجَزَت عَنهُ الجُيوشُ الخَضارِمُ,1,
وَيَطلِبُ عِندَ الناسِ ما عِندَ نَفسِهِ,1,
وَذَلِكَ مالا تَدَّعيهِ الضَراغِمُ,1,
يُفَدّي أَتَمُّ الطَيرِ عُمراً سِلاحُهُ,1,
نُسورُ المَلا أَحداثُها وَالقَشاعِمُ,1,
وَما ضَرَّها خَلقٌ بِغَيرِ مَخالِبٍ,1,
وَقَد خُلِقَت أَسيافُهُ وَالقَوائِمُ,1,
هَلِ الحَدَثُ الحَمراءُ تَعرِفُ لَونَها,1,
وَتَعلَمُ أَيُّ الساقِيَينِ الغَمائِمُ,1,
سَقَتها الغَمامُ الغُرُّ قَبلَ نُزولِهِ,1,
فَلَمّا دَنا مِنها سَقَتها الجَماجِمُ,1,
بَناها فَأَعلى وَالقَنا تَقرَعُ القَنا,1,
وَمَوجُ المَنايا حَولَها مُتَلاطِمُ,1,
وَكانَ بِها مِثلُ الجُنونِ فَأَصبَحَت,1,
وَمِن جُثَثِ القَتلى عَلَيها تَمائِمُ,1,
طَريدَةُ دَهرٍ ساقَها فَرَدَدتَها,1,
عَلى الدينِ بِالخَطِّيِّ وَالدَهرُ راغِمُ,1,
تُفيتُ اللَيالي كُلَّ شَيءٍ أَخَذتَهُ,1,
وَهُنَّ لِما يَأخُذنَ مِنكَ غَوارِمُ,1,
إِذا كانَ ما تَنويهِ فِعلاً مُضارِعاً,1,
مَضى قَبلَ أَن تُلقى عَلَيهِ الجَوازِمُ,1,
وَكَيفَ تُرَجّي الرومُ وَالروسُ هَدمَها,1,
وَذا الطَعنُ آساسٌ لَها وَدَعائِمُ,1,
وَقَد حاكَموها وَالمَنايا حَواكِمٌ,1,
فَما ماتَ مَظلومٌ وَلا عاشَ ظالِمُ,1,
أَتوكَ يَجُرّونَ الحَديدَ كَأَنَّهُم,1,
سَرَوا بِجِيادٍ ما لَهُنَّ قَوائِمُ,1,
إِذا بَرَقوا لَم تُعرَفِ البيضُ مِنهُمُ,1,
ثِيابُهُمُ مِن مِثلِها وَالعَمائِمُ,1,
خَميسٌ بِشَرقِ الأَرضِ وَالغَربِ زَحفُهُ,1,
وَفي أُذُنِ الجَوزاءِ مِنهُ زَمازِمُ,1,
تَجَمَّعَ فيهِ كُلُّ لِسنٍ وَأُمَّةٍ,1,
فَما تُفهِمُ الحُدّاثَ إِلّا التَراجِمُ,1,
فَلِلَّهِ وَقتٌ ذَوَّبَ الغِشَّ نارُهُ,1,
فَلَم يَبقَ إِلّا صارِمٌ أَو ضُبارِمُ,1,
تَقَطَّعَ مالا يَقطَعُ الدِرعَ وَالقَنا,1,
وَفَرَّ مِنَ الأَبطالِ مَن لا يُصادِمُ,1,
وَقَفتَ وَما في المَوتِ شَكٌّ لِواقِفٍ,1,
كَأَنَّكَ في جَفنِ الرَدى وَهوَ نائِمُ,1,
تَمُرُّ بِكَ الأَبطالُ كَلمى هَزيمَةً,1,
وَوَجهُكَ وَضّاحٌ وَثَغرُكَ باسِمُ,1,
تَجاوَزتَ مِقدارَ الشَجاعَةِ وَالنُهى,1,
إِلى قَولِ قَومٍ أَنتَ بِالغَيبِ عالِمُ,1,
ضَمَمتَ جَناحَيهِم عَلى القَلبِ ضَمَّةً,1,
تَموتُ الخَوافي تَحتَها وَالقَوادِمُ,1,
بِضَربٍ أَتى الهاماتِ وَالنَصرُ غائِبُ,1,
وَصارَ إِلى اللَبّاتِ وَالنَصرُ قادِمُ,1,
حَقَرتَ الرُدَينِيّاتِ حَتّى طَرَحتَها,1,
وَحَتّى كَأَنَّ السَيفَ لِلرُمحِ شاتِمُ,1,
وَمَن طَلَبَ الفَتحَ الجَليلَ فَإِنَّما,1,
مَفاتيحُهُ البيضُ الخِفافُ الصَوارِمُ,1,
نَثَرتَهُمُ فَوقَ الأُحَيدِبِ كُلِّهِ,1,
كَما نُثِرَت فَوقَ العَروسِ الدَراهِمُ,1,
تَدوسُ بِكَ الخَيلُ الوُكورَ عَلى الذُرى,1,
وَقَد كَثُرَت حَولَ الوُكورِ المَطاعِمُ,1,
تَظُنُّ فِراخُ الفُتخِ أَنَّكَ زُرتَها,1,
بِأُمّاتِها وَهيَ العِتاقُ الصَلادِمُ,1,
إِذا زَلِفَت مَشَّيتَها بِبِطونِها,1,
كَما تَتَمَشّى في الصَعيدِ الأَراقِمُ,1,
أَفي كُلِّ يَومٍ ذا الدُمُستُقُ مُقدِمٌ,1,
قَفاهُ عَلى الإِقدامِ لِلوَجهِ لائِمُ,1,
أَيُنكِرُ ريحَ اللَيثَ حَتّى يَذوقَهُ,1,
وَقَد عَرَفَت ريحَ اللُيوثِ البَهائِمُ,1,
وَقَد فَجَعَتهُ بِاِبنِهِ وَاِبنِ صِهرِهِ,1,
وَبِالصِهرِ حَملاتُ الأَميرِ الغَواشِمُ,1,
مَضى يَشكُرُ الأَصحابَ في فَوتِهِ الظُبى,1,
بِما شَغَلَتها هامُهُم وَالمَعاصِمُ,1,
وَيَفهَمُ صَوتَ المَشرَفِيَّةِ فيهِمِ,1,
عَلى أَنَّ أَصواتَ السُيوفِ أَعاجِمُ,1,
يُسَرُّ بِما أَعطاكَ لا عَن جَهالَةٍ,1,
وَلَكِنَّ مَغنوماً نَجا مِنكَ غانِمُ,1,
وَلَستَ مَليكاً هازِماً لِنَظيرِهِ,1,
وَلَكِنَّكَ التَوحيدُ لِلشِركِ هازِمُ,1,
تَشَرَّفُ عَدنانٌ بِهِ لا رَبيعَةٌ,1,
وَتَفتَخِرُ الدُنيا بِهِ لا العَواصِمُ,1,
لَكَ الحَمدُ في الدُرِّ الَّذي لِيَ لَفظُهُ,1,
فَإِنَّكَ مُعطيهِ وَإِنِّيَ ناظِمُ,1,
وَإِنّي لَتَعدو بي عَطاياكَ في الوَغى,1,
فَلا أَنا مَذمومٌ وَلا أَنتَ نادِمُ,1,
عَلى كُلِّ طَيّارٍ إِلَيها بِرِجلِهِ,1,
إِذا وَقَعَت في مِسمَعَيهِ الغَماغِمُ,1,
أَلا أَيُّها السَيفُ الَّذي لَيسَ مُغمَداً,1,
وَلا فيهِ مُرتابٌ وَلا مِنهُ عاصِمُ,1,
هَنيئاً لِضَربِ الهامِ وَالمَجدِ وَالعُلى,1,
وَراجيكَ وَالإِسلامِ أَنَّكَ سالِمُ,1,
وَلِم لا يَقي الرَحمَنُ حَدَّيكَ ما وَقى,1,
وَتَفليقُهُ هامَ العِدا بِكَ دائِمُ,1,
قِفَا نَبْكِ مِنْ ذِكْرَى حَبِيْبٍ وَمَنْزِلِ,1,
بِسِقْطِ اللِّوَى بَيْنَ الدَّخُولِ فَحَوْمَلِ,1,
فَتُوْضِحَ فَالمِقْرَاةِ لم يَعْفُ رَسْمُهَا,1,
لِمَا نَسَجَتْهَا مِنْ جَنُوبٍ وَشَمْأَلِ,1,
تَرَى بَعَرَ الأرْآمِ في عَرَصَاتِهَا,1,
وَقِيْعَانِهَا كَأَنَّهُ حَبُّ فُلْفُلِ,1,
كَأَنِّيْ غَدَاة َ البَيْنِ يَوْمَ تَحَمَّلُوا,1,
لَدَى سَمُرَاتِ الحَيِّ نَاقِفُ حَنْظَلِ,1,
وُقُوْفًا بِهَا صَحْبِيْ عَليََّ مَطِيَّهُمْ,1,
يَقُولُونَ لا تَهْلِكْ أَسًى وَتَجَمَّلِ,1,
وَإِنَّ شِفَائِيْ عَبْرَةٌ مَهَراقَةٌ,1,
فهَلْ عِنْدَ رَسْمٍ دَارِسٍ مِنْ مُعَوَّلِ,1,
كَدَأْبِكَ مِنْ أُمِّ الحُوَيْرِثِ قَبْلَهَـا,1,
وَجَارَتِهَا أُمِّ الرَّبَابِ بِمَأْسَلِ,1,
فَفَاضَتْ دُمُوعُ العَيْنِ مِنِّيْ صَبَابَةً,1,
عَلَى النَّحْرِ حَتَّى بَلَّ دَمْعِيَ مِحْمَلِي,1,
أَلا رُبَّ يَوْمٍ لَكَ مِنْهُنَّ صَالِحٍ,1,
وَلا سِيَّمَا يَوْمٌ بِدَارَةِ جُلْجُلِ,1,
وَيَوْمَ عَقَرْتُ لِلْعَذَارَى مَطِيَّتِيْ,1,
فَيَا عَجَبًا مِنْ رَحْلِهَا المُتَحَمَّلِ,1,
يَظَلُّ العَذَارَى يَرْتَمِيْنَ بِلَحْمِهَا,1,
وَشَحْمٍ كَهُدَّابِ الدِّمَقْسِ المُفَتَّلِ,1,
وَيَوْمَ دَخَلْتُ الخِدْرَ خِدْرَ عُنَيْزَةٍ,1,
فَقَالَتْ لَكَ الوَيْلاتُ إِنَّكَ مُرْجِلِي,1,
تَقُولُ وَقَدْ مَالَ الغَبِيْطُ بِنَا مَعًا,1,
عَقَرْتَ بَعِيْرِيْ يَا امْرَأَ القَيْسِ فَانْزِلِ,1,
فَقُلْتُ لَهَا سِيْرِيْ وَأَرْخِي زِمَامَهُ,1,
وَلا تُبْعِدِيني مِنْ جَنَاكِ المُعَلِّلِ,1,
فَمِثْلِكِ حُبْلَى قَدْ طَرَقْتُ ومُرْضِعًا,1,
فَأَلْهَيْتُهَا عَنْ ذِيْ تَمَائِمَ مُغْيَلِ,1,
إذا ما بَكَى مِنْ خَلْفِهَا انْحَرَفَتْ لَهُ,1,
بِشِقٍّ وَشِقٌّ عِنْدَنَا لم يُحَوَّلِ,1,
وَيَوْمًا عَلَى ظَهْرِ الكَثِيْبِ تَعَذَّرَتْ,1,
عَلَيَّ وَآلَتْ حَلْفَةً لم تَحَلَّلِ,1,
أَفَاطِمُ مَهْلاً بَعْضَ هذا التَّدَلُّلِ,1,
وَإِنْ كُنْتِ قَدْ أَزْمَعْتِ صَرْمِيْ فَأَجْمِلِي,1,
وَإنْ كنتِ قَدْ سَاءَتْكِ مِنِّيْ خَليْقَةٌ,1,
فَسُلِّيْ ثِيَابِيْ مِنْ ثِيَابِكِ تَنْسُلِ,1,
أَغَرَّكِ مِنِّيْ أَنَّ حُبَّكِ قَاتِلِي,1,
وَأَنَّكِ مَهْمَا تَأْمُرِي القَلْبَ يَفْعَلِ,1,
وَمَا ذَرَفَتْ عَيْناكِ إِلا لِتَقْدَحِي,1,
بِسَهْمَيْكِ في أَعْشَارِ قَلْبٍ مُقَتَّلِ,1,
وَبَيْضَةِِ خِدْرٍٍ لا يُرَامُ خِبَاؤُهَا,1,
تَمَتَّعْتُ مِنْ لَهْوٍٍ بِهَا غَيْرَ مُعْجَلِ,1,
تَجَاوَزْتُ أَحْرَاسًا وَأَهْوَالَ مَعْشَرٍاً,1,
