verse,Label
قالَ السَماءُ كَئيبَةٌ وَتَجَهَّما قُلتُ اِبتَسِم يَكفي التَجَهّمُ في السَما,1
قالَ الصِبا وَلّى فَقُلتُ لَهُ اِبتَسِم لَن يُرجِعَ الأَسَفُ الصِبا المُتَصَرِّما,1
قُلتُ اِبتَسِم وَاِطرَب فَلَو قارَنتَها قَضَّيتَ عُمرَكَ كُلَّهُ مُتَأَلِّما,1
قُلتُ اِبتَسِم ما أَنتَ جالِبَ دائِها وَشِفائِها فَإِذا اِبتَسَمتَ فَرُبَّما,1
قُلتُ اِبتَسِم لَم يَطلُبوكَ بِذَمِّهِم لَو لَم تَكُن مِنهُم أَجَلَّ وَأَعظَما,1
قُلتُ اِبتَسِم يَكفيكَ أَنَّكَ لَم تَزَل حَيّاً وَلَستَ مِنَ الأَحِبَّةِ مُعدَما,1
قالَ اللَيالي جَرَّعَتني عَلقَماً قُلتُ اِبتَسِم وَلَئِن جَرَعتَ العَلقَما,1
فَلَعَلَّ غَيرَكَ إِن رَآكَ مُرَنَّماً طَرَحَ الكَآبَةَ جانِباً وَتَرَنَّما,1
فَاِضحَك فَإِنَّ الشُهبَ تَضحَكُ وَالدُجى مُتَلاطِمٌ وَلِذا نُحِبُّ الأَنجُما,1
قُلتُ اِبتَسِم ما دامَ بَينَكَ وَالرَدى شِبرٌ فَإِنَّكَ بَعدُ لَن تَتَبَسَّما,1
لا تَلقَ دَهرَكَ إِلّا غَيرَ مُكتَرِثٍ مادامَ يَصحَبُ فيهِ روحَكَ البَدَنُ,1
أَيُّهَذا الشاكي وَما بِكَ داءٌ كَيفَ تَغدو إِذا غَدَوتَ عَليلا,1
هُوَ عِبءٌ عَلى الحَياةِ ثَقيلٌ مَن يَظُنُّ الحَياةَ عِبءً ثَقيلا,1
وَالَّذي نَفسُهُ بِغَيرِ جَمالٍ لا يَرى في الوُجودِ شَيئاً جَميلا,1
فَتَمَتَّع بِالصُبحِ ما دُمتَ فيهِ لا تَخَف أَن يَزولَ حَتّى يَزولا,1
لا خُلودٌ تَحتَ السَماءِ لِحَيٍّ فَلِماذا تُراوِدُ المُستَحيلا,1
ما أَتَينا إِلى الحَياةِ لِنَشقى فَأَريحوا أَهلا العُقولِ العُقولا,1
كُلُّ مَن يَجمَعُ الهُمومَ عَلَيهِ أَخَذَتهُ الهُمومُ أَخذاً وَبيلا,1
كُن هَزاراً في عُشِّهِ يَتَغَنّى وَمَع الكَبلِ لا يُبالي الكُبولا,1
كُن غَديراً يَسيرُ في الأَرضِ رَقرا قاً فَيَسقي مِن جانِبَيهِ الحُقولا,1
أَيُّهَذا الشاكي وَما بِكَ داءٌ كُن جَميلاً تَرَ الوُجودَ جَميلا,1
وتشاءُ أنت من البشائر قطرةً ويشاء ربُك أن يُغيثك بالمطر,1
وتشاء أنت من الأماني نجمةً ويشاء ربُك أن يناولك القمر,1
وتشاءُ أنت من الحياة غنيمةً ويشاء ربك أن يسوق لك الدُرر,1
والله يمنع إن أراد بحكمةٍ لا بد ان ترضى بما حكم القدر,1
دَع المَقادير تَجري في أَعنتها وَلا تَكُن يائِساً مِن نيل آمال,1
أعلِّلُ النفس بالآمالِ أرقُبُها ما أضيقَ العيشَ لولا فسحةُ الأمَلِ,1
حبُّ السلامةِ يُثْني همَّ صاحِبه عن المعالي ويُغرِي المرءَ بالكَسلِ,1
فإن جنحتَ إليه فاتَّخِذْ نَفَقاً في الأرضِ أو سلَّماً في الجوِّ فاعتزلِ,1
ودَعْ غمارَ العُلى للمقديمن على ركوبِها واقتنِعْ منهن بالبَلَلِ,1
مَن يَفعَلِ الخَيرَ لا يَعدَم جَوازِيَهُ لا يَذهَبُ العُرفُ بَينَ اللَهِ وَالناسِ,1
وَرِزقُكَ لَيسَ يُنقِصُهُ التَأَنّي وَلَيسَ يَزيدُ في الرِزقِ العَناءُ,1
وَلا حُزنٌ يَدومُ وَلا سُرورٌ وَلا بُؤسٌ عَلَيكَ وَلا رَخاءُ,1
ومَن لم يعانقْهُ شَوْقُ الحياةِ تَبَخَّرَ في جَوِّها واندَثَرْ,1
ومن يتهيّب صُعودَ الجبالِ يَعِشْ أبَدَ الدَّهرِ بَيْنَ الحُفَرْ,1
أُباركُ في النَّاسِ أهلَ الطُّموحِ ومَن يَسْتَلِذُّ ركوبَ الخطرْ,1
هو الكونُ حيٌّ يحبُّ الحَيَاةَ ويحتقرُ الميْتَ مهما كَبُرْ,1
الجُود يحْكم في ارتياحكْ والغيث يعجب من سماحكْ,1
دع المقادير تجري في أعنتها  ولا تبيتن إلا خالي البالِ,1
ما بين غمضة عين وانتباهتها  يغير الله من حال إلى حالِ,1
همتي همَّة الملوكِ ونفسي  نَفْسُ حُرٍّ تَرَى الْمَذَلَّة َ كُفْرَا,1
أَنَا إنْ عِشْتُ لَسْتُ أعْدَمُ قُوتا وَإذا متّ لَسْتُ أعْدَمُ قَبْرَا,1
وإذا ما قنعتُ بالقوتِ عمري فَلِمَاذَا أزورُ زَيْدا وَعَمْرَا,1
وويذهب اليأس عَنيِّ ذكرى لرحمة ربيِّ!,1
الفخر بالعلم لا بالجاه والمال والمجد بالجد لا بالجد والخال,1
كم من ملىء وضىء الوجه تحسبه للعلم خلا ولكن فكره خالى,1
في المال والجاه أسباب الغرور ومن يغترّ بالأهل كالمغتر بالآل,1
تلك الامور سحابات مغيرها حوادث الدهر من حال إلى حال,1
ترقّب اليسر بعد العسر والحرج فغاية الضيق منها مبدا الفرج,1
حاشا ترى ازمة إلا ويعقبها يسر يقول لها يا أزمة انفرجي,1
وما سمعنا ببحر دام مضطربا ولا بريح شديد بات في هرج,1
فلا تضيق مجالا بات متسعا فالله أولى بنا في الموقف الحرج,1
فعن قريب ترى الأهوال هادئة والكل ينحو طريقا غير ذى عوج,1
ويسكن القلب من خوف ومن فزع ويرتع الكل من هول ومن هرج,1
يَوَدُّ الْفَتَى ما لا يكُونُ طَمَاعَةً ولَمْ يَدْرِ أَنَّ الدَّهْرَ بالنَّاسِ قُلَّبُ,1
ولَوْ عَلِمَ الإِنْسَانُ ما فِيهِ نَفْعُهُ لأَبْصَرَ ما يَأْتِي ومَا يَتَجَنَّبُ,1
وَلَكِنَّها الأَقْدَارُ تَجْرِي بُحُكْمِها عَلَيْنَا وأَمْرُ الْغَيْبِ سِرٌّ مُحَجَّبُ,1
ولعل ما تخشاه ليس بكائنٍ ولعل ما ترجوه سوف يكونُ,1
ولعل ما هوّنتَ ليس بهيّن ولعل ما شدّدتَ سوف يهونُ,1
أيا غاضباً من صُرُوف القضا بنفسك تَعنُفُ لا بالقدَرْ,1
ويا ضارباً صخرةً بالعصا ضربتَ العصا أم ضربتَ الحجرْ ؟,1
الْقَ العَدُوَّ بوجْهٍ لا قُطوبَ بِه يَكادُ يَقْطُرُ مِنْ ماءِ البَشاشاتِ,1
فأحْزَمُ النَّاسِ مَنْ يَلْقى أعاديه في جِسْمِ حِقْدٍ وثَوْبٍ من مَودّاتِ,1
الرّفْقُ يُمْنٌ وخَيْر القولِ أصْدقُه وكَثْرةُ المَزْحِ مُفتاحُ العَداواتِ,1
لَأَصبِرَنَّ لِدهرٍ لا يُمَتِّعُنِي بِهِ وَلا بِيَ فِي حالٍ يُمَتِّعُهُ,1
عِلماً بِأَنَّ اِصطِباري مُعقِبُ فَرَجاً فَأَضيَقُ الأَمرِ إِن فَكَّرتَ أَوسَعُهُ,1
تَغَرَّب وَاِبغِ في الأَسفارِ رِزقاً لَتَفتَحَ بِالتَغَرُّبِ بابَ نُجحِ,1
فَلَن تَجِدَ الثَراءَ بِغَيرِ سَعيٍ وَهَل يوري الزِنادُ بِغَيرِ قَدحِ,1
‏لا تبكها ذَهَبَت ومات هواها في القلبِ متسعٌ غَداً لِسواها,1
أحببتُها وطويتُ صفحتَها وكم قَرَأَ اللبيبُ صحيفةً وطواها,1
‏هذا الصباحُ الذي يُبدي انشراحتَهُ لولا تَبَسُّمُكُمْ لم يَبْدُ مُنشرِحا,1
رأى بكمْ بعدَ جُهدِ الليلِ راحتَهُ فلتفرحوا كي تروهُ مُشرقاً فَرِحا,1
‏ليل الهموم الذي قد كان يرهقنا قد فر لما رأى الآمال تنبلجُ,1
ضاقت بنا وطأة الآلام فانفرجت ما أذن الفجر إلا أذن الفرَجُ,1
ما طالَ ليلُ الأسَى إلا وأعقَبَهُ فَجْرٌ يُفَجِّرُ في وجدانِنا الفَرَحا,1
كم ساهرٍ دامعِ العينينِ مكتئبٍ وحينَ ناجَى الذي يَدري بهِ انْشَرَحا,1
ولَرُبَّ حَـاجَـاتٍ تَعَـسَّــــــرَ نَـيْـلُهَا والـخَيْرُ كُلُّ الـخَيْرِ فـي تَعْسِــيْرِهَا,1
كُنْ وَاثِقًا بالله فِيمَـا قَـدْ قَـضَـى واتْرُكْ أُمُورًا.. قَدْ دَعَاكَ لِغَيرِهَا,1
واجْعَلْ حيَاتَكَ كُلَّها بيَدِ الَّذِي لولاهُ لَـنْ تَقْوَى عَلَـى تَدْبِـيرِهَا,1
واتْرُكَ هَوَاكَ لِأَمْرِ رَبِّكَ واحْتَسِبْ لَا تَلْـتَـفِتْ للنَّفْـــسِ عِــنْدَ زَئِــيْرِهَا,1
مَــنْ يَــتَّــقِ الرَّحْـمَنَ يَلْـقَ سَــعَادَةً يَعْيَا لِسَــــانُ الـخَلْقِ عَنْ تَفْسِـيْرِهَا,1
وَعاشِر بِمَعروفٍ وَسامِح مَنِ اِعتَدى وَدافِع وَلَكِن بِالَّتي هِيَ أَحسَنُ,1
لَمّا عَفَوتُ وَلَم أَحقِد عَلى أَحَدٍ أَرَحتُ نَفسي مِن هَمِّ العَداواتِ إِنّي أُحَيّي عَدوّي عِندَ رُؤيَتِهِ,1
لِأَدفَعَ الشَرَّ عَنّي بِالتَحِيّاتِ دَعِ الأَيّامَ تَفعَلُ ما تَشاءُ,1
وَطِب نَفساً إِذا حَكَمَ القَضاءُ وَلا تَجزَع لِحادِثَةِ اللَيالي,1
فَما لِحَوادِثِ الدُنيا بَقاءُ وَكُن رَجُلاً عَلى الأَهوالِ جَلداً,1
وَشيمَتُكَ السَماحَةُ وَالوَفاءُ وَلا تُرِ لِلأَعادي قَطُّ ذُلّاً,1
فَإِنَّ شَماتَةَ الأَعدا بَلاءُ وَلا حُزنٌ يَدومُ وَلا سُرورٌ,1
وَلا بُؤسٌ عَلَيكَ وَلا رَخاءُ ِذا ما كُنتَ ذا قَلبٍ قَنوعٍ,1
فَأَنتَ وَمالِكُ الدُنيا سَواءُ سافر تَجِد عِوَضاً عَمَّن تُفارِقُهُ,1
وَاِنصَب فَإِنَّ لَذيذَ العَيشِ في النَصَبِ ِإنّي رَأَيتُ وُقوفَ الماءِ يُفسِدُهُ,1
إِن ساحَ طابَ وَإِن لَم يَجرِ لَم يَطِبِ وَالأُسدُ لَولا فِراقُ الأَرضِ مااِفتَرَسَت,1
وَالسَهمُ لَولا فِراقُ القَوسِ لَم يُصِبِ وَالشَمسُ لَو وَقَفَت في الفُلكِ دائِمَةً,1
لَمَلَّها الناسُ مِن عُجمٍ وَمِن عَرَبِ,1
وَذاتُ الفَتى وَاللَهِ بِالعِلمِ وَالتُقى إِذا لَم يَكونا لا اِعتِبارَ لِذاتِهِ,1
اشتدي أزمة تنفرجي قد آذن ليلك بالبلج,1
ولا تحسبنَّ الحزن يبقى فإنه شهاب حريقٍ واقدٌ ثم خامدُ,1
ستألفُ فقدان الذي قد فقدته كإلْفكَ وجْدان الذي أنت واجدُ,1
كن بلسماً إن صار دهرك أرقما وحلاوة إن صار غيرك علقما,1
أحسنْ وإن لم تجزَ حتى بالثنا أيَّ الجزاء الغيثُ يبغي إن همى ؟,1
فاعمل لإسعاد السّوى وهنائهم إن شئت تسعد في الحياة وتنعما,1
أيقظ شعورك بالمحبة إن غفا لولا شعور الناس كانوا كالدمى,1
أحبب فيغدو الكوخ قصرا نيرا وابغض فيمسي الكون سجنا مظلما,1
لو لم يكن في الأرض إلا مبغضٌ لتبرمتْ بوجودِهِ وتبرّما,1
لا تطلبنّ محبةً من جاهلٍ المرءُ ليس يُحَبُّ حتى يُفهما,1
وإذا نطقتَ ففي الجوارحِ نشوةٌ هي نشوةُ الروحِ ارتوتْ بعدَ الظما,1
إذا غامَرْتَ في شَرَفٍ مَرُومِ فَلا تَقنَعْ بما دونَ النّجومِ,1
لا يحْمِلُ الحِقْدَ مَنْ تَعْلُو بِهِ الرُّتَبُ ولا ينالُ العلى من طبعهُ الغضبُ,1
فَتًى يَخُوضُ غِمَارَ الحرْبِ مُبْتَسِماً وَيَنْثَنِي وَسِنَانُ الرُّمْحِ مُخْتَضِبُ,1
في مدخل الحمراء كان لقاؤنا ما أطـيب اللقـيا بلا ميعاد,1
إِذا المَرءُ لَم يُدنَس مِنَ اللُؤمِ عِرضُهُ  فَكُلُّ رِداءٍ يَرتَديهِ جَميلُ,1
وَما ضَرَّنا أَنّا قَليلٌ وَجارُنا عَزيزٌ وَجارُ الأَكثَرينَ ذَليلُ,1
لعَيْنَيْكِ ما يَلقَى الفُؤادُ وَمَا لَقي وللحُبّ ما لم يَبقَ منّي وما بَقي,1
وَما كنتُ ممّنْ يَدْخُلُ العِشْقُ قلبَه وَلكِنّ مَن يُبصِرْ جفونَكِ يَعشَقِ,1
اسعَدْ كَمَا سَعِدَتْ بِكَ الأَيَّامُ واسْلَمْ كَمَا بِكَ يسلَمُ الإِسلامُ,1
سَعِدتْ نجدٌ إذا وافيتَ نجدا بقدومٍ منك إقبالاً وسَعْدا,1
أنت الذي لولا مكارمُه غاضَ الزُّلالُ وصَوَّحَ العُشُبُ,1
سَعِدَتْ بغُرَّةِ وجهِكَ الأيَّامُ وتزيَّنَتْ ببقائِكَ الأعوامُ,1
عدت بسعد قُدومُك الأقدارُ وصفا الزّمانُ وزالت الأكدارُ,1
وتنسّمت بذكاء ذكرك نفحةٌ وتبسّمت بثنائك الأزهار,1
كَفْكِفْ دموعَكَ ليس ينفَعُكَ البكاءُ ولا العويل,1
وانهضْ ولا تشكُ الزما نَ فما شكا إلاَّ الكسول,1
ما ضَلَّ ذو أملٍ سَعى يوماً وحكمتهُ الدَّليلُ,1
وَهَيَّجَت لِيَ مِن شَوقٍ وَمِن فَرَحٍ أَيدٍ نَثَرنَ عَلى الأَوتارِ أَعنابا,1
فرحتي يوم أراها جنَّتي نارُ هواها,1
أحزاننا بلقائكم أفراحُ وزماننا قدح وأنتم راحُ,1
يا سادة من ذكرهم نرتاحُ أبداً تحن إليكم الأرواحُ,1
وقلوب أهل ودادكم تشتاقكم وإلى لذيذ لقائكم ترتاح,1
أيها الناس أنتم الأمراء بكم الأرض والسماء سواء,1
يا نجوما تمشي على قدميها كلما أظلم الزمان أضاؤوا,1
أوقات وصلكم عيد وأفراح يا من هم الروح لي والروح والراح,1
يا من إذا اكتحلت عيني بطلعتهم وحقّقت في محيا الحسن ترتاح,1
إِنَّ ذا يَوم سَعيدٌ بِكَ يا قُرة عَيني,1
عادَ الأَبرّ سَعيد العَصر مِن سَفرِهْ لِمصره وَالعُلا وَالنَصر مِن خفرِهْ,1
أُحِبُّكِ أَصنافاً مِنَ الحُبِّ لَم أَجِد لَها مَثَلاً في سائِرِ الناسِ يوصَفُ,1
أحبك فوق ما عشقت قلوبٌ ولا أدري الذي من بعد حبي,1
أحبّكِ فَوق ما تسعُ القلوبُ وَخيَّل شاعِرٌ وَوَعى حَبيبُ,1
أحبك يا شمس الزمان وبدره وإن لامني فيك السها والفراقد,1
أحبُّكم فوق الذي وصفتُم نعم صدقوا إنّ القلوب سواقي,1
سَأُحِبُّ أَعدائي لِأَنَّكِ مِنهُمُ يا مَن يُصِحُّ بِمُقلَتَيهِ وَيُسقِمُ,1
يُخفي صنائعَه واللهُ يظهرُها إنَّ الجميلَ إذا أخفيته ظهرا,1
شكر الله أياديكَ التي عاجلت قصدي بأنواعِ الهبات,1
أنتَ بالمعروفِ قدْ أحييتني وكذا الشمس حياة للنبات,1
